title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time,busca
7 Can the Kantian Brain Explain Consciousness?,"SS Gouveia, C Morujão",2026.0,0,"… , including Bayesian inference, predictive coding, and active inference, which together … Bayesian inference is foundational to PP, offering a statistical approach that allows the brain …",jlLxwFX_eJQJ,"SS Gouveia, C Morujão - Kant's Legacy for the 21st Century …, 2026 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=lBvcEQAAQBAJ&oi=fnd&pg=RA1-PT84&dq=predictive+processing+perception+Kant+inference&ots=sL9hGvnfFf&sig=pIvn4M2Xm5bLxNIDELT2VE0a4lw,unknown,unknown,r3a_predictive.csv
A constructivist model of robot perception and performance,"JA Lewis, GF Luger",2000.0,17,… robot control based on the constructivist insight that representation occurs as a product of the active interpretation of perception-… This architecture supports the control program for a robot …,Kx7EDJj0xwIJ,"JA Lewis, GF Luger - Proceedings of the Annual Meeting of the …, 2000 - escholarship.org",[],https://escholarship.org/content/qt01m268s7/qt01m268s7.pdf,unknown,unknown,r3b_active_vision.csv
Theoretic foundations of situating cognitive vision in robots and cognitive systems,"MJ Schlemmer, M Vincze",2012.0,3,"… ) proposed Active Vision, where the design of model and control strategies for perception is … formulate our ‘rationalism cum constructivism’ stance: with constructivism we share that all …",gbeeSKlIIa0J,"MJ Schlemmer, M Vincze - Journal of Experimental & Theoretical …, 2012 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/13623079.2011.588252,unknown,unknown,r3b_active_vision.csv
Development of hierarchical structures for actions and motor imagery: a constructivist view from synthetic neuro-robotics study,"R Nishimoto, J Tani",2009.0,56,… a neuro-robotics experiment on developmental learning of goal-directed actions. The robot was … through the sensory–motor interactions is corresponded to Piaget’s constructivist view. …,IUyuKMye30gJ,"R Nishimoto, J Tani - Psychological Research PRPF, 2009 - Springer",[],https://link.springer.com/article/10.1007/s00426-009-0236-0,unknown,unknown,r3b_active_vision.csv
Active vision in satellite scene analysis,M Naillon,1994.0,1,"… perception should not be separated from recognition and decision making levels. This means that low level signal processing (perception … new concept of active vision, implemented in …",6vavRXLGXisJ,"M Naillon - … on Artificial Intelligence, Robotics, and Automation for …, 1994 - ntrs.nasa.gov",[],https://ntrs.nasa.gov/citations/19950017318,unknown,unknown,r3b_active_vision.csv
Active perception and representation for robotic manipulation,"Y Zaky, G Paruthi, B Tripp, J Bergstra",2003.0,27,"… objects from different distances and viewpoints, providing a rich visual experience from … visual-motor system, we present a framework that leverages the benefits of active perception to …",0EZJny7kn64J,"Y Zaky, G Paruthi, B Tripp, J Bergstra - arXiv preprint arXiv:2003.06734, 2020 - arxiv.org",[],https://arxiv.org/abs/2003.06734,unknown,unknown,r3b_active_vision.csv
The constructivist learning architecture: A model of cognitive development for robust autonomous robots,HH Chaput,2004.0,63,"… robot the same adaptability and robustness that infants have. This dissertation presents such a model, the Constructivist … The challenge of a constructivist model of causal perception is …",Y04KPrro4kwJ,HH Chaput - 2004 - search.proquest.com,[],https://search.proquest.com/openview/c1d825abff9a1b4c1ac90d90c99c5d46/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown,r3b_active_vision.csv
Active vision and image/video understanding systems built upon network-symbolic models for perception-based navigation of mobile robots in real-world …,G Kuvich,2004.0,12,"… To be useful in the field conditions and real combat situations, the perception system of UGV must combine active vision with effective image/video understanding system. …",ffr1R2Gkp50J,"G Kuvich - Mobile Robots XVII, 2004 - spiedigitallibrary.org",[],https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5609/0000/Active-vision-and-image-video-understanding-systems-built-upon-network/10.1117/12.577747.short,unknown,unknown,r3b_active_vision.csv
Revisiting active perception,"R Bajcsy, Y Aloimonos, JK Tsotsos",2018.0,571,"… This section dissects the components of an active vision system, as shown in Fig. 1, for specific cases and describes why would an agent wish to sense a particular scene or scene …",hf760B-a0GcJ,"R Bajcsy, Y Aloimonos, JK Tsotsos - Autonomous Robots, 2018 - Springer",[],https://link.springer.com/article/10.1007/s10514-017-9615-3,unknown,unknown,r3b_active_vision.csv
An interpretation of the 'self'from the dynamical systems perspective: A constructivist approach,J Tani,1998.0,143,… perception and the top-down prediction are investigated. Our experiments with a real mobile robot showed that the incremental learning of the robot … the bottom-up perception works well …,R11fNEdWyEYJ,"J Tani - Journal of Consciousness Studies, 1998 - ingentaconnect.com",[],https://www.ingentaconnect.com/content/imp/jcs/1998/00000005/F0020005/880,unknown,unknown,r3b_active_vision.csv
The engineering of vision from constructivism to virtual reality,L Manovich,1994.0,47,… Visual perception is reduced to a number of computational processes for … robot or an automatic missile to perform its task. Marr projects these goals of machine vision onto human vision. …,e_WpxfL3NP4J,L Manovich - 1994 - search.proquest.com,[],https://search.proquest.com/openview/088c45195baa8acb1cb708441ea4555a/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown,r3b_active_vision.csv
Learning convolutional feature hierarchies for visual recognition,"K Kavukcuoglu, P Sermanet…",2010.0,772,… The encoder used in [14] is a simple feedforward function which can also be seen as a small convolutional neural network: z = gk × tanh(x ∗ Wk) (k = 1..K). This function has been …,VCVwWnqNnVcJ,"K Kavukcuoglu, P Sermanet… - Advances in neural …, 2010 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2010/hash/a01610228fe998f515a72dd730294d87-Abstract.html,unknown,unknown,r4a_cnn.csv
DeepCrack: A deep hierarchical feature learning architecture for crack segmentation,"Y Liu, J Yao, X Lu, R Xie, L Li",2019.0,1381,"… In this paper, we propose a deep hierarchical convolutional neural network (CNN), called as DeepCrack, to predict pixel-wise crack segmentation in an end-to-end method. DeepCrack …",VlOTtwoxmIUJ,"Y Liu, J Yao, X Lu, R Xie, L Li - Neurocomputing, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0925231219300566,unknown,unknown,r4a_cnn.csv
Hierarchical convolutional features for visual tracking,"C Ma, JB Huang, X Yang, MH Yang",2015.0,2277,… features extracted from deep convolutional neural networks … The outputs of the last convolutional layers encode the … slowness constraints are imposed for feature learning. Li et al. …,YPzKPkjx8v8J,"C Ma, JB Huang, X Yang, MH Yang - Proceedings of the IEEE …, 2015 - cv-foundation.org",[],https://www.cv-foundation.org/openaccess/content_iccv_2015/html/Ma_Hierarchical_Convolutional_Features_ICCV_2015_paper.html,unknown,unknown,r4a_cnn.csv
HD-CNN: hierarchical deep convolutional neural networks for large scale visual recognition,"Z Yan, H Zhang, R Piramuthu…",2015.0,615,"… However, existing deep convolutional neural networks (CNN) … hierarchical structure of categories. In this paper, we introduce hierarchical deep CNNs (HD-CNNs) by embedding deep …",0KvLaBo4AXcJ,"Z Yan, H Zhang, R Piramuthu… - Proceedings of the …, 2015 - cv-foundation.org",[],https://www.cv-foundation.org/openaccess/content_iccv_2015/html/Yan_HD-CNN_Hierarchical_Deep_ICCV_2015_paper.html,unknown,unknown,r4a_cnn.csv
Do convolutional neural networks learn class hierarchy?,"A Bilal, A Jourabloo, M Ye, X Liu…",2017.0,312,… branch of the hierarchy are increasingly more … hierarchical similarity structure among the classes and on analyzing how it impacts both the classification results and the image features …,bF_5qI-8ex8J,"A Bilal, A Jourabloo, M Ye, X Liu… - IEEE transactions on …, 2017 - ieeexplore.ieee.org/abstract/document/8017618/,unknown,unknown,r4a_cnn.csv
3D2SeqViews: Aggregating sequential views for 3D global feature learning by CNN with hierarchical attention aggregation,"Z Han, H Lu, Z Liu, CM Vong, YS Liu…",2019.0,225,"… using convolutional neural networks with a novel hierarchical … the hierarchical attention aggregation, where view-level attention and class-level attention are proposed to hierarchically …",TW7APBk9bGUJ,"Z Han, H Lu, Z Liu, CM Vong, YS Liu… - … on Image Processing, 2019 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8666059/,unknown,unknown,r4a_cnn.csv
Learning spatial hierarchies of high-level features in deep neural network,"P Razzaghi, K Abbasi, P Bayat",2020.0,32,… of features that are needed to represent the raw data. Feature learning methods especially deep learning-… Convolutional neural network (CNN) is a well-known deep and feed-forward …,FG6qhjLJAVsJ,"P Razzaghi, K Abbasi, P Bayat - Journal of Visual Communication and …, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1047320320300675,unknown,unknown,r4a_cnn.csv
Efficient object detection using convolutional neural network-based hierarchical feature modeling,"B Lee, E Erdenee, S Jin, PK Rhee",2016.0,25,"… in convolutional network (SPP) [19,20]. This paper presents a hierarchical deep feature-driven learning … differences and (2) the deep features extracted from visual objects show a strong …",BB0yj5N0g6AJ,"B Lee, E Erdenee, S Jin, PK Rhee - Signal, Image and Video Processing, 2016 - Springer",[],https://link.springer.com/article/10.1007/s11760-016-0962-x,unknown,unknown,r4a_cnn.csv
Tree-CNN: a hierarchical deep convolutional neural network for incremental learning,"D Roy, P Panda, K Roy",2020.0,348,"… our deep learning models are required to adapt to these changes. In this paper, we propose an adaptive hierarchical network structure composed of DCNNs that can grow and learn as …",HexcBRPOlx4J,"D Roy, P Panda, K Roy - Neural networks, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0893608019302710,unknown,unknown,r4a_cnn.csv
Exploring hierarchical convolutional features for hyperspectral image classification,"G Cheng, Z Li, J Han, X Yao…",2018.0,325,"… deep learning models especially convolutional neural … proposed metric learning-based feature fusion, feature learning, and … It consists of an SVM loss function and a metric learning loss …",DEr5M_QxBFIJ,"G Cheng, Z Li, J Han, X Yao… - IEEE Transactions on …, 2018 - ieeexplore.ieee.org/abstract/document/8393448/,unknown,unknown,r4a_cnn.csv
Vision: A computational investigation into the human representation and processing of visual information,D Marr,2010.0,31047,… is a synopsis of the work that made his reputation—his computational theories of the human visual system.” The final stage in Marr’s theory of visual representations was a particular …,BgQQL_6lpscJ,D Marr - 2010 - direct.mit.edu,[],https://direct.mit.edu/books/monograph/3299/VisionA-Computational-Investigation-into-the-Human,unknown,unknown,r5a_marr.csv
Visual information processing: The structure and creation of visual representations,D Marr,1982.0,310,"… For human vision to be explained by a computational theory, … It is argued that vision is the construction of efficient symbolic … aspect of vision is therefore the choice of representations for …",rAlYpV_S4-kJ,"D Marr - Recognition of Pattern and Form: Proceedings of a …, 1982 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-642-93199-4_4,unknown,unknown,r5a_marr.csv
A computational theory of human stereo vision,"D Marr, T Poggio, EC Hildreth, WEL Grimson",1991.0,3327,"… These ideas are illustrated by the representation shown in figure 3, which Marr & Nishihara … our theory and its implementation (Grimson & Marr 1979) demonstrate that the computational …",t2V6U5OkLIwJ,"D Marr, T Poggio, EC Hildreth, WEL Grimson - … papers of david marr, 1991 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4684-6775-8_11,unknown,unknown,r5a_marr.csv
Marr on computational-level theories,O Shagrir,2010.0,124,"… to the mathematical relations between the things that are being represented (specified by the Why element). This article … In section 7, I compare my view with other interpretations of Marr. …",KDsV37ubQwMJ,"O Shagrir - Philosophy of science, 2010 - cambridge.org",[],https://www.cambridge.org/core/journals/philosophy-of-science/article/marr-on-computationallevel-theories/21C3C13FB31C51228AAD3D086E273990,unknown,unknown,r5a_marr.csv
Marr's computational theory of vision,P Kitcher,1988.0,137,"… in its historical context, the development of computer vision. With Marr's theory out in view, I … to tell us exactly what features of the environment are represented by the visual system. So …",CKJaGf1hl7sJ,"P Kitcher - Philosophy of Science, 1988 - cambridge.org",[],https://www.cambridge.org/core/journals/philosophy-of-science/article/marrs-computational-theory-of-vision/F952298186F6AB1481677812248A891B,unknown,unknown,r5a_marr.csv
The vision of david marr,KA Stevens,2012.0,43,"… Marr proposed that we could describe vision at three increasingly specific … visual representations, which has profound impact on the nature of the corresponding computational …",WostfEXM58cJ,"KA Stevens - Perception, 2012 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1068/p7297,unknown,unknown,r5a_marr.csv
"Does this computational theory solve the right problem? Marr, Gibson, and the goal of vision",WH Warren,2012.0,58,"… understanding of the goal of vision, the natural constraints, … Marr makes his “conceptual leap” to assert that the visual process is one of forming an internal description or representation …",5ZzhwL_hGuMJ,"WH Warren - Perception, 2012 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1068/p7327,unknown,unknown,r5a_marr.csv
"Seeing, representing and describing: an examination of David Marr's computational theory of vision",P Hacker,2016.0,48,"… I shall argue in this paper that what Marr describes constitutes… of the theory of ‘machine-vision’, ie the theory underlying the … Marr, the visual process is a mapping of one representation …",z1rvHWt1IG8J,"P Hacker - Investigating psychology, 2016 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315463933-8&type=chapterpdf,unknown,unknown,r5a_marr.csv
From unconscious inference to the beholder's share: Predictive perception and human experience,AK Seth,2019.0,88,"… Helmholtz’s emphasis on unconscious inference. Also important is that the function of perception, … both enhance our understanding of visual perception and phenomenology through an …",uNxcK_GYfJoJ,"AK Seth - European Review, 2019 - cambridge.org",[],https://www.cambridge.org/core/journals/european-review/article/from-unconscious-inference-to-the-beholders-share-predictive-perception-and-human-experience/8FFFE6794CE680A8334474CC2F93C0FE,unknown,unknown,r6a_helmholtz.csv
Was Helmholtz a Bayesian?,G Westheimer,2008.0,55,"… he called `unconscious inferences' have made Helmholtz be … of Bayesian inference, and Helmholtz's views of perception … '' might be read as implying that human visual perception is a …",MAdqVo1T58AJ,"G Westheimer - Perception, 2008 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1068/p5973,unknown,unknown,r6a_helmholtz.csv
Hermann von Helmholtz and the empiricist vision,RS Turner,1977.0,56,"… that all perception is the result of empirical learning, of the countless unconscious inferences from … empiricist debate over the nature of our visual perception of depth. In this controversy, …",vafJdM-MIx4J,"RS Turner - Journal of the History of the Behavioral Sciences, 1977 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/1520-6696(197701)13:1%3C48::AID-JHBS2300130106%3E3.0.CO;2-L,unknown,unknown,r6a_helmholtz.csv
Helmholtz's theory of perception: An investigation into its conceptual framework,PMS Hacker,1995.0,21,"… visual perception, it disrupts one's seeing, just as a ""ringing in the ears"" impairs one's hearing. According to Helmholtz … These unconscious inferences are ineffable, for ""we are not able …",0y9F_0fENYMJ,"PMS Hacker - International Studies in the Philosophy of Science, 1995 - Taylor & Francis",[],https://www.tandfonline.com/doi/pdf/10.1080/02698599508573519,unknown,unknown,r6a_helmholtz.csv
"Concerning the perceptions in general, 1867.",H Helmholtz,1948.0,534,"… It is not clear how the assumption of these original ""space sensations"" can help the explanation of our visual perceptions, when the adherents of this theory ultimately have to assume in …",gRXUXMp1AhIJ,H Helmholtz - 1948 - psycnet.apa.org,[],https://psycnet.apa.org/record/2006-10213-027,unknown,unknown,r6a_helmholtz.csv
"Conditions for versatile learning, Helmholtz's unconscious inference, and the task of perception",H Barlow,1990.0,237,"… changes very readily; I think Helmholtz’s unconscious inference results from automatic access and use of this store, and it is this that makes perception so effective for learning. …",ffFnLyNfZkMJ,"H Barlow - Vision research, 1990 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/004269899090144A,unknown,unknown,r6a_helmholtz.csv
Helmholtz's theory of space-perception,JH Hyslop,1891.0,13,"… to Helmholtz's theory of "" unconscious inference "" as the source of the visual perception of … Even if we do not regard the expression ""unconscious inference"" as a self-contradiction, the …",-dFj4Oc11ecJ,"JH Hyslop - Mind, 1891 - JSTOR",[],https://www.jstor.org/stable/2247192,unknown,unknown,r6a_helmholtz.csv
Unconscious inference and judgment in perception,DW Hamlyn,1977.0,14,"… that the inset colour must be opposed to the colour of the surrounding area, and this inference sometimes overrides the given facts of sensory experience. Helmholtz thought that it does …",Nw2RTm2P1ZIJ,"DW Hamlyn - Images, Perception, and Knowledge: Papers Deriving …, 1977 - Springer",[],https://link.springer.com/content/pdf/10.1007/978-94-010-1193-8.pdf#page=198,unknown,unknown,r6a_helmholtz.csv
Inductive Biases in Neural Networks,ABS Tour,,0,"… This chapter took up the output-head axis of inductive bias in … next chapter, on convolutional networks: the prior that nearby … time-translation equivariance and squeeze the past through …",1-A5VrJjoOIJ,ABS Tour - metafunctor.com,[],https://metafunctor.com/latex/inductive-biases/inductive-biases-neural-networks.pdf,unknown,unknown,r7a_inductive_bias.csv
Grounding inductive biases in natural images: invariance stems from variations in data,"D Bouchacourt, M Ibrahim…",2021.0,38,"… While prior work has focused on synthetic data, we attempt here … convolutional inductive bias present in ResNet18, translation … is not invariant to translation, it is equivariant to translation, …",H-DgVVlFZxIJ,"D Bouchacourt, M Ibrahim… - Advances in Neural …, 2021 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2021/hash/a2fe8c05877ec786290dd1450c3385cd-Abstract.html,unknown,unknown,r7a_inductive_bias.csv
Equivariant neural networks for inverse problems,"E Celledoni, MJ Ehrhardt, C Etmann, B Owren…",2021.0,56,"… use of convolutional layers to encode an inductive bias (trans… As mentioned before, we will concern ourselves with solving … to roto-translations if there is no prior knowledge on the …",j1WWQCK9mH0J,"E Celledoni, MJ Ehrhardt, C Etmann, B Owren… - Inverse …, 2021 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1361-6420/ac104f/meta,unknown,unknown,r7a_inductive_bias.csv
Scaling mlps: A tale of inductive bias,"G Bachmann, S Anagnostidis…",2023.0,99,"… In contrast to previous work, however, we find that compute-optimal MLPs allocate their … to a better inductive bias. Moreover, a convolution exhibits translationequivariance, ie shifts of …",JgAHPmDLpPwJ,"G Bachmann, S Anagnostidis… - Advances in Neural …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/bf2a5ce85aea9ff40d9bf8b2c2561cae-Abstract-Conference.html,unknown,unknown,r7a_inductive_bias.csv
Learning invariances in neural networks from training data,"G Benton, M Finzi, P Izmailov…",2020.0,243,"… the translation equivariance symmetry: when we translate an … However, we have a prior belief that a model should … , the inclusion of an inductive bias that we ought to include some …",E-2H00It8SAJ,"G Benton, M Finzi, P Izmailov… - Advances in neural …, 2020 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2020/hash/cc8090c4d2791cdd9cd2cb3c24296190-Abstract.html,unknown,unknown,r7a_inductive_bias.csv
Understanding Inductive Bias in the Era of Large-Scale Pretraining With Scientific Data,N Gruver,2025.0,0,… acquire stronger equivariance properties than convolutional neural … encompasses the assumptions built into a model before … of convolutional layers: if we translate the input image by an …,Xvj9UF5URC0J,N Gruver - 2025 - search.proquest.com,[],https://search.proquest.com/openview/088c09bb4896512b80bb14b8402b8663/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown,r7a_inductive_bias.csv
Convolution filter equivariance/invariance in convolutional neural networks: a survey,"SB Habte, A Ibenthal, ET Bekele…",2022.0,2,… the translation equivariance property of the convolutional … incorporation of inductive biases in terms of equivariance to … applying lowpass filtering before downsampling and termed as …,3OefOD-XtmwJ,"SB Habte, A Ibenthal, ET Bekele… - Pan African Conference on …, 2022 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-31327-1_11,unknown,unknown,r7a_inductive_bias.csv
Understanding and incorporating mathematical inductive biases in neural networks,M Finzi,2023.0,1,"… While translation equivariance may have been sufficient for … network priors with inductive biases for equivariances, but without … with inductive biases that assign significant prior mass for …",FfF-XZXlr5AJ,M Finzi - 2023 - search.proquest.com,[],https://search.proquest.com/openview/de08a4c306042b324b8032a068bcd355/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown,r7a_inductive_bias.csv
